Date,Time,Block,import
30-04-2016,00:30-00:45,3,912
30-04-2016,00:45-01:00,4,924
30-04-2016,01:00-01:15,5,904
30-04-2016,01:15-01:30,6,928
30-04-2016,01:30-01:45,7,992
30-04-2016,01:45-02:00,8,972
30-04-2016,02:00-02:15,9,960
30-04-2016,02:15-02:30,10,956
30-04-2016,02:30-02:45,11,976
30-04-2016,02:45-03:00,12,924
30-04-2016,03:00-03:15,13,816
30-04-2016,03:15-03:30,14,816
30-04-2016,03:30-03:45,15,800
30-04-2016,03:45-04:00,16,796
30-04-2016,04:00-04:15,17,804
30-04-2016,04:15-04:30,18,804
30-04-2016,04:30-04:45,19,796
30-04-2016,04:45-05:00,20,800
30-04-2016,05:00-05:15,21,800
30-04-2016,05:15-05:30,22,796
30-04-2016,05:30-05:45,23,780
30-04-2016,05:45-06:00,24,780
30-04-2016,06:00-06:15,25,772
30-04-2016,06:15-06:30,26,724
30-04-2016,06:30-06:45,27,752
30-04-2016,06:45-07:00,28,756
30-04-2016,07:00-07:15,29,772
30-04-2016,07:15-07:30,30,788
30-04-2016,07:30-07:45,31,784
30-04-2016,07:45-08:00,32,792
30-04-2016,08:00-08:15,33,800
30-04-2016,08:15-08:30,34,804
30-04-2016,08:30-08:45,35,828
30-04-2016,08:45-09:00,36,848
30-04-2016,09:00-09:15,37,852
30-04-2016,09:15-09:30,38,876
30-04-2016,09:30-09:45,39,872
30-04-2016,09:45-10:00,40,920
30-04-2016,10:00-10:15,41,932
30-04-2016,10:15-10:30,42,932
30-04-2016,10:30-10:45,43,940
30-04-2016,10:45-11:00,44,936
30-04-2016,11:00-11:15,45,932
30-04-2016,11:15-11:30,46,944
30-04-2016,11:30-11:45,47,936
30-04-2016,11:45-12:00,48,952
30-04-2016,12:00-12:15,49,940
30-04-2016,12:15-12:30,50,912
30-04-2016,12:30-12:45,51,900
30-04-2016,12:45-13:00,52,900
30-04-2016,13:00-13:15,53,852
30-04-2016,13:15-13:30,54,900
30-04-2016,13:30-13:45,55,1084
30-04-2016,13:45-14:00,56,1084
30-04-2016,14:00-14:15,57,996
30-04-2016,14:15-14:30,58,1000
30-04-2016,14:30-14:45,59,1036
30-04-2016,14:45-15:00,60,1036
30-04-2016,15:00-15:15,61,1028
30-04-2016,15:15-15:30,62,1024
30-04-2016,15:30-15:45,63,1016
30-04-2016,15:45-16:00,64,1000
30-04-2016,16:00-16:15,65,1072
30-04-2016,16:15-16:30,66,1108
30-04-2016,16:30-16:45,67,1128
30-04-2016,16:45-17:00,68,1108
30-04-2016,17:00-17:15,69,1056
30-04-2016,17:15-17:30,70,1024
30-04-2016,17:30-17:45,71,992
30-04-2016,17:45-18:00,72,980
30-04-2016,18:00-18:15,73,984
30-04-2016,18:15-18:30,74,988
30-04-2016,18:30-18:45,75,1016
30-04-2016,18:45-19:00,76,1020
30-04-2016,19:00-19:15,77,1040
30-04-2016,19:15-19:30,78,1044
30-04-2016,19:30-19:45,79,1040
30-04-2016,19:45-20:00,80,1044
30-04-2016,20:00-20:15,81,1048
30-04-2016,20:15-20:30,82,1032
30-04-2016,20:30-20:45,83,1016
30-04-2016,20:45-21:00,84,996
30-04-2016,21:00-21:15,85,972
30-04-2016,21:15-21:30,86,992
30-04-2016,21:30-21:45,87,1000
30-04-2016,21:45-22:00,88,992
30-04-2016,22:00-22:15,89,976
30-04-2016,22:15-22:30,90,1000
30-04-2016,22:30-22:45,91,1004
30-04-2016,22:45-23:00,92,992
30-04-2016,23:00-23:15,93,900
30-04-2016,23:15-23:30,94,888
30-04-2016,23:30-23:45,95,864
30-04-2016,23:45-00:00,96,840
01-05-2016,00:00-00:15,1,804
01-05-2016,00:15-00:30,2,812
01-05-2016,00:30-00:45,3,816
01-05-2016,00:45-01:00,4,800
01-05-2016,01:00-01:15,5,804
01-05-2016,01:15-01:30,6,784
01-05-2016,01:30-01:45,7,780
01-05-2016,01:45-02:00,8,780
01-05-2016,02:00-02:15,9,788
01-05-2016,02:15-02:30,10,768
01-05-2016,02:30-02:45,11,764
01-05-2016,02:45-03:00,12,748
01-05-2016,03:00-03:15,13,752
01-05-2016,03:15-03:30,14,748
01-05-2016,03:30-03:45,15,728
01-05-2016,03:45-04:00,16,732
01-05-2016,04:00-04:15,17,736
01-05-2016,04:15-04:30,18,736
01-05-2016,04:30-04:45,19,732
01-05-2016,04:45-05:00,20,744
01-05-2016,05:00-05:15,21,728
01-05-2016,05:15-05:30,22,720
01-05-2016,05:30-05:45,23,712
01-05-2016,05:45-06:00,24,700
01-05-2016,06:00-06:15,25,672
01-05-2016,06:15-06:30,26,656
01-05-2016,06:30-06:45,27,668
01-05-2016,06:45-07:00,28,656
01-05-2016,07:00-07:15,29,668
01-05-2016,07:15-07:30,30,668
01-05-2016,07:30-07:45,31,688
01-05-2016,07:45-08:00,32,708
01-05-2016,08:00-08:15,33,704
01-05-2016,08:15-08:30,34,684
01-05-2016,08:30-08:45,35,716
01-05-2016,08:45-09:00,36,732
01-05-2016,09:00-09:15,37,908
01-05-2016,09:15-09:30,38,860
01-05-2016,09:30-09:45,39,880
01-05-2016,09:45-10:00,40,892
01-05-2016,10:00-10:15,41,880
01-05-2016,10:15-10:30,42,876
01-05-2016,10:30-10:45,43,880
01-05-2016,10:45-11:00,44,876
01-05-2016,11:00-11:15,45,880
01-05-2016,11:15-11:30,46,888
01-05-2016,11:30-11:45,47,832
01-05-2016,11:45-12:00,48,856
01-05-2016,12:00-12:15,49,860
01-05-2016,12:15-12:30,50,868
01-05-2016,12:30-12:45,51,880
01-05-2016,12:45-13:00,52,872
01-05-2016,13:00-13:15,53,876
01-05-2016,13:15-13:30,54,864
01-05-2016,13:30-13:45,55,852
01-05-2016,13:45-14:00,56,848
01-05-2016,14:00-14:15,57,860
01-05-2016,14:15-14:30,58,844
01-05-2016,14:30-14:45,59,864
01-05-2016,14:45-15:00,60,844
01-05-2016,15:00-15:15,61,816
01-05-2016,15:15-15:30,62,752
01-05-2016,15:30-15:45,63,776
01-05-2016,15:45-16:00,64,792
01-05-2016,16:00-16:15,65,752
01-05-2016,16:15-16:30,66,736
01-05-2016,16:30-16:45,67,756
01-05-2016,16:45-17:00,68,740
01-05-2016,17:00-17:15,69,756
01-05-2016,17:15-17:30,70,844
01-05-2016,17:30-17:45,71,816
01-05-2016,17:45-18:00,72,808
01-05-2016,18:00-18:15,73,804
01-05-2016,18:15-18:30,74,812
01-05-2016,18:30-18:45,75,860
01-05-2016,18:45-19:00,76,868
01-05-2016,19:00-19:15,77,892
01-05-2016,19:15-19:30,78,892
01-05-2016,19:30-19:45,79,884
01-05-2016,19:45-20:00,80,876
01-05-2016,20:00-20:15,81,884
01-05-2016,20:15-20:30,82,888
01-05-2016,20:30-20:45,83,912
01-05-2016,20:45-21:00,84,916
01-05-2016,21:00-21:15,85,884
01-05-2016,21:15-21:30,86,820
01-05-2016,21:30-21:45,87,812
01-05-2016,21:45-22:00,88,812
01-05-2016,22:00-22:15,89,808
01-05-2016,22:15-22:30,90,804
01-05-2016,22:30-22:45,91,828
01-05-2016,22:45-23:00,92,820
01-05-2016,23:00-23:15,93,812
01-05-2016,23:15-23:30,94,800
01-05-2016,23:30-23:45,95,784
01-05-2016,23:45-00:00,96,732
02-05-2016,00:00-00:15,1,740
02-05-2016,00:15-00:30,2,724
02-05-2016,00:30-00:45,3,748
02-05-2016,00:45-01:00,4,748
02-05-2016,01:00-01:15,5,740
02-05-2016,01:15-01:30,6,744
02-05-2016,01:30-01:45,7,720
02-05-2016,01:45-02:00,8,732
02-05-2016,02:00-02:15,9,732
02-05-2016,02:15-02:30,10,732
02-05-2016,02:30-02:45,11,704
02-05-2016,02:45-03:00,12,692
02-05-2016,03:00-03:15,13,700
02-05-2016,03:15-03:30,14,704
02-05-2016,03:30-03:45,15,700
02-05-2016,03:45-04:00,16,708
02-05-2016,04:00-04:15,17,704
02-05-2016,04:15-04:30,18,704
02-05-2016,04:30-04:45,19,712
02-05-2016,04:45-05:00,20,708
02-05-2016,05:00-05:15,21,716
02-05-2016,05:15-05:30,22,800
02-05-2016,05:30-05:45,23,908
02-05-2016,05:45-06:00,24,904
02-05-2016,06:00-06:15,25,876
02-05-2016,06:15-06:30,26,892
02-05-2016,06:30-06:45,27,888
02-05-2016,06:45-07:00,28,900
02-05-2016,07:00-07:15,29,924
02-05-2016,07:15-07:30,30,972
02-05-2016,07:30-07:45,31,1124
02-05-2016,07:45-08:00,32,1176
02-05-2016,08:00-08:15,33,1236
