,Point.Forecast,Lo.90,Hi.90,Lo.95,Hi.95
41277,2217.530215,464.5015924,3970.558838,128.6677728,4306.392657
41278,2217.530229,454.5665696,3980.493887,116.8294605,4318.230997
41279,2217.530238,444.687219,3990.373256,105.0574863,4330.002989
41280,2217.530243,434.8626152,4000.19787,93.35074792,4341.709738
41281,2217.530245,425.0918586,4009.968632,81.70817287,4353.352317
41282,2217.530245,415.3740737,4019.686417,70.12871789,4364.931773
41283,2217.530244,405.7084084,4029.352079,58.61136765,4376.44912
41284,2217.530241,396.0940334,4038.966449,47.15513371,4387.905348
41285,2217.530238,386.5301409,4048.530334,35.75905357,4399.301421
41286,2217.530234,377.0159442,4058.044523,24.42218969,4410.638277
41287,2217.530229,367.5506767,4067.509782,13.14362862,4421.91683
41288,2217.530225,358.1335913,4076.926859,1.922480112,4433.13797
41289,2217.530221,348.7639598,4086.296482,-9.242123647,4444.302566
41290,2217.530217,339.4410721,4095.619363,-20.35102886,4455.411463
41291,2217.530214,330.1642354,4104.896192,-31.40506086,4466.465488
41292,2217.530211,320.9327742,4114.127647,-42.4050248,4477.465446
41293,2217.530208,311.746029,4123.314387,-53.35170633,4488.412122
41294,2217.530205,302.6033563,4132.457054,-64.24587231,4499.306283
41295,2217.530203,293.5041278,4141.556279,-75.08827135,4510.148678
41296,2217.530202,284.4477301,4150.612673,-85.87963446,4520.940038
41297,2217.5302,275.433564,4159.626836,-96.62067562,4531.681076
41298,2217.530199,266.4610441,4168.599354,-107.3120923,4542.37249
41299,2217.530198,257.5295984,4177.530798,-117.9545661,4553.014962
41300,2217.530197,248.638668,4186.421726,-128.548763,4563.609157
41301,2217.530197,239.7877064,4195.272687,-139.0953341,4574.155727
41302,2217.530196,230.9761794,4204.084213,-149.594916,4584.655309
41303,2217.530196,222.2035646,4212.856827,-160.0481313,4595.108523
41304,2217.530196,213.4693509,4221.591041,-170.4555888,4605.515981
41305,2217.530196,204.7730383,4230.287353,-180.8178843,4615.878276
41306,2217.530196,196.1141378,4238.946254,-191.1356007,4626.195992
41307,2217.530196,187.4921706,4247.568221,-201.4093083,4636.4697
41308,2217.530196,178.906668,4256.153724,-211.6395656,4646.699957
41309,2217.530196,170.3571713,4264.703221,-221.8269193,4656.887311
41310,2217.530196,161.8432312,4273.217161,-231.9719047,4667.032297
41311,2217.530196,153.3644078,4281.695985,-242.075046,4677.135438
41312,2217.530196,144.92027,4290.140123,-252.1368567,4687.197249
41313,2217.530196,136.5103957,4298.549997,-262.1578401,4697.218233
41314,2217.530196,128.134371,4306.926022,-272.1384891,4707.198882
41315,2217.530197,119.7917906,4315.268603,-282.0792868,4717.13968
41316,2217.530197,111.482257,4323.578136,-291.9807069,4727.0411
41317,2217.530197,103.2053805,4331.855013,-301.8432135,4736.903607
41318,2217.530197,94.96077907,4340.099615,-311.667262,4746.727656
41319,2217.530197,86.74807814,4348.312316,-321.4532988,4756.513693
41320,2217.530197,78.56691021,4356.493484,-331.2017617,4766.262155
41321,2217.530197,70.41691485,4364.643479,-340.9130801,4775.973474
41322,2217.530197,62.2977384,4372.762656,-350.5876756,4785.64807
41323,2217.530197,54.20903388,4380.85136,-360.2259615,4795.286356
41324,2217.530197,46.15046074,4388.909933,-369.8283437,4804.888738
41325,2217.530197,38.12168475,4396.938709,-379.3952203,4814.455614
41326,2217.530197,30.12237779,4404.938016,-388.9269825,4823.987377
41327,2217.530197,22.15221775,4412.908176,-398.4240139,4833.484408
41328,2217.530197,14.21088831,4420.849506,-407.8866916,4842.947086
41329,2217.530197,6.298078847,4428.762315,-417.3153856,4852.37578
41330,2217.530197,-1.586515713,4436.64691,-426.7104595,4861.770854
41331,2217.530197,-9.443195058,4444.503589,-436.0722704,4871.132665
41332,2217.530197,-17.27225361,4452.332648,-445.401169,4880.461563
41333,2217.530197,-25.07398063,4460.134375,-454.6975002,4889.757894
41334,2217.530197,-32.8486604,4467.909055,-463.9616025,4899.021997
41335,2217.530197,-40.59657228,4475.656966,-473.193809,4908.254203
41336,2217.530197,-48.31799086,4483.378385,-482.3944467,4917.454841
41337,2217.530197,-56.01318608,4491.07358,-491.5638373,4926.624231
41338,2217.530197,-63.68242331,4498.742817,-500.7022972,4935.762691
41339,2217.530197,-71.32596348,4506.386358,-509.810137,4944.870531
41340,2217.530197,-78.94406318,4514.004457,-518.8876627,4953.948057
41341,2217.530197,-86.53697476,4521.597369,-527.9351749,4962.995569
41342,2217.530197,-94.10494642,4529.16534,-536.9529693,4972.013363
41343,2217.530197,-101.6482223,4536.708616,-545.9413369,4981.001731
41344,2217.530197,-109.1670426,4544.227437,-554.9005639,4989.960958
41345,2217.530197,-116.6616437,4551.722038,-563.8309319,4998.891326
41346,2217.530197,-124.1322581,4559.192652,-572.732718,5007.793112
41347,2217.530197,-131.5791146,4566.639509,-581.6061949,5016.666589
41348,2217.530197,-139.0024385,4574.062833,-590.4516308,5025.512025
41349,2217.530197,-146.4024514,4581.462846,-599.2692902,5034.329684
41350,2217.530197,-153.7793717,4588.839766,-608.0594328,5043.119827
41351,2217.530197,-161.1334141,4596.193808,-616.8223149,5051.882709
41352,2217.530197,-168.4647903,4603.525184,-625.5581883,5060.618582
